route,grade,grade_band,discipline,grade_system,area,wall,source,latitude,longitude,row_key,notion_page_id,status,coord_source
4einhalb,6b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | 4einhalb,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Babymaus,5c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Babymaus,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Black Metal,7a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Black Metal,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Blut und Nieten,5b,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Blut und Nieten,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Bronx River Parkway,6c+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Bronx River Parkway,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Cosmic Shop,7a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Cosmic Shop,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Coyote Ugly,6a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Coyote Ugly,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Crush Mode,7b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Crush Mode,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Crushmode,7b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Crushmode,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Death of the Undertaker,6c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Death of the Undertaker,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Doppelschneck,6a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Doppelschneck,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
