Coverage Key,Region,Area / Crag,Section / Sector,Page From,Page To,Page(s),Source Image(s),Readability,Content Type,Route Reconciliation,Review Status,Duplicate Count,Duplicate Flag,Source Batch,Notes
HINTENBURG|PLATTE,Hintenburg,Hintenburg,Sektor 1 Platte,390,391,390–391,IMG_6075.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
HINTENBURG|UEBERHANG,Hintenburg,Hintenburg,Sektor 2 Überhang,392,393,392–393,IMG_6076.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
HINTENBURG|GYMWANDL,Hintenburg,Hintenburg,Sektor 3 Gymwandl,392,393,392–393,IMG_6076.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
HINTENBURG|HEANAKRAEULN,Hintenburg,Hintenburg,Sektor 4 Heanakräuln,394,394,394,IMG_6077.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
GOESSING|INTRO,Gössing,Gössing,Context / introduction,395,395,395,IMG_6077.JPG,Readable coverage,Context only,Not applicable,Preserved,1,Unique,Preserved prior batch,No route extraction expected.
SIEDINGER|PECHERWANDL,Siedinger,Siedinger,Pecherwandl,396,397,396–397,IMG_6078.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
SIEDINGER|HOEHLE,Siedinger,Siedinger,Sektor 3 Höhle,398,398,398,IMG_6079.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
SIEDINGER|NEUES_WANDL,Siedinger,Siedinger,Sektor 4 Neues Wandl,398,398,398,IMG_6079.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
SIEDINGER|GESCHENK,Siedinger,Siedinger,Sektor 5 Geschenk,398,398,398,IMG_6079.JPG,Readable coverage,Route list,Deferred,Review required,1,Unique,Preserved prior batch,Route rows intentionally not imported.
WEISSE_WAND,Höllental-Rax,Weisse Wand,Main sector,440,441,440–441,IMG_6100.JPG,Readable coverage,Route list,Staged separately,Review required,1,Unique,Preserved prior batch,Original coverage preserved; new pages overlap and expose ambiguous numbering/subsector structure.
VORDERE_KLOBENWAND,Höllental-Rax,Vordere Klobenwand,Main sector,442,443,442–443,IMG_6101.JPG,Readable coverage,Route list,18 routes staged,Review required,1,Unique,Preserved prior batch,Project without grade excluded.
DETEKTIVBUERO,Höllental-Rax,Detektivbüro,Main sector,444,445,444–445,IMG_6102.JPG,Readable coverage,Route list,18 routes staged,Review required,1,Unique,Preserved prior batch,Two projects without grades excluded; graded project retained for review.
NIEMANDSLAND,Höllental-Rax,Niemandsland,Main sector,446,449,446–449,IMG_6103.JPG; IMG_6104.JPG,Readable coverage,Route list,45 routes staged,Review required,1,Unique,Preserved prior batch,One project without grade excluded.
HANDLESBERG,Höllental-Rax,Handlesberg,Main sector,450,452,450–452,IMG_6105.JPG; IMG_6106.JPG,Readable coverage,Route list + topo,25 routes staged,Review required,1,Unique,Preserved prior batch,Regional taxonomy inferred from contiguous guidebook section.
FRISBEE_PLATTE,Höllental-Rax,Frisbee Platte,Main sector,454,456,454–456,IMG_6107.JPG; IMG_6108.JPG; IMG_6109.JPG,Readable coverage,Route list + topo,30 routes staged,Review required,1,Unique,Preserved prior batch,IMG_6108/6109 retained as possible duplicate captures; page 453 is now resolved by image-17.jpg.
RAUENSTEIN|MAIN,Helenental,Helenental,Rauenstein / main,88,88,88,image-20.jpg,Readable,Route list,1 numeric route not staged,Review required,1,Unique,2026-08-01 attachment batch,Single lettered/topo route; keep outside automatic import.
JAMMERWANDL|INTRO,Helenental,Helenental,Jammerwandl / introduction,89,89,89,image-20.jpg,Readable,Context only,Not applicable,Preserved,1,Unique,2026-08-01 attachment batch,Context page only.
ENGELSTEIN|MAIN,Helenental,Helenental,Engelstein,92,93,92–93,image-21.jpg,Readable,Route list,17 routes staged,Review required,1,Unique,2026-08-01 attachment batch,Lettered traverse excluded.
DACHSWANDL|MAIN,Helenental,Helenental,Dachswandl,94,95,94–95,image-22.jpg,Readable,Route list,7 routes staged,Review required,1,Unique,2026-08-01 attachment batch,Numeric route list is readable.
OSPWANDL|MAIN,Helenental,Helenental,Ospwandl,94,95,94–95,image-22.jpg,Readable,Route list,6 routes staged,Review required,1,Unique,2026-08-01 attachment batch,Numeric route list is readable.
RUIM|MAIN,Helenental,Helenental,Ruim,94,95,94–95,image-22.jpg,Partially readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Lettered problems and compact layout make deterministic extraction unsafe.
HELENENTALER_BLOECKE|INTRO,Helenental,Helenental,Helenentaler Blöcke / introduction,100,101,100–101,image-23.jpg,Readable,Context only,Not applicable,Preserved,1,Unique,2026-08-01 attachment batch,Introduction and map context.
RAISENMARKTER|OVERVIEW,Raisenmarkt,Arnstein,Raisenmarkter Boulder / overview,180,181,180–181,image-24.jpg,Readable,Overview,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Block overview; no safe route rows created.
RAISENMARKTER|BLOCK_A_C,Raisenmarkt,Arnstein,Blocks A–C,182,183,182–183,image-25.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
RAISENMARKTER|BLOCK_D_G,Raisenmarkt,Arnstein,Blocks D–G,184,185,184–185,image-26.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
RAISENMARKTER|BLOCK_H_K,Raisenmarkt,Arnstein,Blocks H–K,186,187,186–187,image-27.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
RAISENMARKTER|BLOCK_L_M,Raisenmarkt,Arnstein,Blocks L–M,188,189,188–189,image-28.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
RAISENMARKTER|BLOCK_N_R,Raisenmarkt,Arnstein,Blocks N–R,190,191,190–191,image-29.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
RAISENMARKTER|ACCESS,Raisenmarkt,Arnstein,Access / overview,192,193,192–193,image-30.jpg,Readable,Context only,Not applicable,Preserved,1,Unique,2026-08-01 attachment batch,Access overview and advertisement page.
ARNSTEINWAND|OVERVIEW,Raisenmarkt,Arnstein,Arnsteinwand / overview,194,195,194–195,image-31.jpg,Readable,Overview,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Overview only; route list begins in existing coverage.
ARNSTEIN_BOULDER|BLOCK_A_E,Raisenmarkt,Arnstein,Boulder blocks A–E,204,205,204–205,image-32.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
ARNSTEIN_BOULDER|BLOCK_F_H,Raisenmarkt,Arnstein,Boulder blocks F–H,206,207,206–207,image-33.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
ARNSTEIN_BOULDER|BLOCK_I_L,Raisenmarkt,Arnstein,Boulder blocks I–L,208,209,208–209,image-1.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
HOLZSCHLAG|OVERVIEW,Raisenmarkt,Holzschlag,Overview,210,211,210–211,image-2.jpg,Readable,Overview,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Coverage context only.
HOLZSCHLAG|BLOCK_H_J,Raisenmarkt,Holzschlag,Blocks H–J,216,217,216–217,image-3.jpg,Readable,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Needs a dedicated boulder problem pass.
THALHOFGRABEN|INTRO,Peilstein,Thalhofgraben,Introduction / information,218,219,218–219,image-4.jpg,Readable,Context only,Not applicable,Preserved,1,Unique,2026-08-01 attachment batch,Guidebook heading establishes Thalhofgraben context.
THALHOFGRABEN|OVERVIEW,Peilstein,Thalhofgraben,West-sector overview,220,221,220–221,image-5.jpg,Readable,Overview,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Sector overview A–J.
THALHOFGRABEN|KLAPF,Peilstein,Thalhofgraben,Klapf,240,241,240–241,image-6.jpg,Readable,Route list,20 routes staged,Review required,1,Unique,2026-08-01 attachment batch,Existing website coverage labels this page span Hohe Wand; guidebook title and locator evidence indicate Peilstein.
THALHOFGRABEN|HANSI_BITTE_SAFT,Peilstein,Thalhofgraben,Hansi bitte Saft,242,243,242–243,image-7.jpg,Readable,Route list,2 routes staged,Review required,1,Unique,2026-08-01 attachment batch,Existing website coverage labels this page span Hohe Wand; review taxonomy before merge.
UNRESOLVED|PAGES_252_255,Review required,Review required,Area title not visible,252,255,252–255,image-8.jpg; image-9.jpg,Readable content; missing title context,Boulder problems,Deferred,Review required,1,Unique,2026-08-01 attachment batch,Do not assign an area until neighboring title pages or table of contents are supplied.
