from,to,pages,count,status,note
46,49,46–49,4,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
51,51,51,1,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
54,57,54–57,4,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
60,61,60–61,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
74,75,74–75,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
82,83,82–83,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
86,87,86–87,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
90,91,90–91,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
96,99,96–99,4,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
102,135,102–135,34,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
142,177,142–177,36,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
248,249,248–249,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
257,261,257–261,5,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
281,281,281,1,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
289,297,289–297,9,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
312,313,312–313,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
326,327,326–327,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
330,341,330–341,12,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
344,349,344–349,6,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
352,353,352–353,2,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
360,389,360–389,30,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
399,437,399–437,39,UNREPRESENTED_NEEDS_CONTENTS_CHECK,"May be guidebook context, advertising, or missing climbing content."
