db_wall,db_route,db_grade,notion_page_id,reason
Badener Turm,Pesttanz,6a+,3a921413-5351-81e0-b966-ca3f1d87f66f,no match in my transcription
Breite Wand,(?),8-/9,3a921413-5351-8199-9648-c4034d28fb15,unnamed placeholder
Breite Wand,Eiszunge,7,3a921413-5351-8195-af91-c036da76e9f2,no match in my transcription
Breite Wand,Linker Einstieg,7-,3a921413-5351-81de-92a9-d83edd9891a5,no match in my transcription
Helenentaler Blöcke,(?),9+,3a921413-5351-811f-ba64-c55f5f0d6c0a,unnamed placeholder
Helenentaler Blöcke,(?),5+,3a921413-5351-81ab-b167-eed37276bd45,unnamed placeholder
Helenentaler Blöcke,Direkter Ausstieg,6+,3a921413-5351-813d-bbee-e8ede85c9a10,no match in my transcription
Ruachlerkamm,Aber bitte mit Sahne,8,3a921413-5351-81b3-bc61-c1f895cc3b03,no match in my transcription
Ruachlerkamm,Klassiker,6+,3a921413-5351-8160-9699-cf1fd6a88e12,no match in my transcription
Ruachlerkamm,Lichtscheibe,6c+,3a921413-5351-8169-969a-ddf461cd4623,no match in my transcription
Ruachlerkamm,Melmac,9-,3a921413-5351-8135-975d-feee5b239038,no match in my transcription
Ruachlerkamm,Nacht und Nebel,6,3a921413-5351-81d6-9ff0-c4c9971507f4,no match in my transcription
Ruachlerkamm,Ruachlerkamin,4-,3a921413-5351-8138-b52d-f8994c431af2,no match in my transcription
Ruachlerkamm,Ruachlerpfeiler,4-,3a921413-5351-811b-b86c-e0bcc901c33a,no match in my transcription
Rum/Dachs/Ospwandl,(topo),8,3a921413-5351-810f-9ae9-ff7635f08669,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),5+,3a921413-5351-8128-8c69-ee764861847e,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),3+,3a921413-5351-8144-8173-e806d405211a,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),3+,3a921413-5351-815b-a598-c657d15547dc,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),7+,3a921413-5351-8172-ac58-d4b1b9b95fc7,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),8+,3a921413-5351-8181-91e3-dd8b3a4c2870,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),7+,3a921413-5351-8188-8334-f1d0d99903be,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),9-,3a921413-5351-8196-80cb-eac5b9f9ac6b,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),5+,3a921413-5351-81a0-b9b5-d3d5d2700c9b,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),8,3a921413-5351-81b2-b8ff-ede5a8e3cff5,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),7,3a921413-5351-81b3-a892-d0823e141189,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),6+,3a921413-5351-81c3-bac1-c9e78659324c,unnamed placeholder
Rum/Dachs/Ospwandl,(topo),6+,3a921413-5351-81f5-bc86-c26eaaf767bd,unnamed placeholder
Siegenfelder Steinbruch,(?),2,3a921413-5351-814d-a006-c9c8784e8ad6,unnamed placeholder
Siegenfelder Steinbruch,(?),4-,3a921413-5351-8185-a964-c7c1405df985,unnamed placeholder
Siegenfelder Steinbruch,(?),4-,3a921413-5351-81a1-974d-c0c33493b5e0,unnamed placeholder
Siegenfelder Steinbruch,(?),2-,3a921413-5351-81a6-aca0-f8d142f0fb70,unnamed placeholder
Siegenfelder Steinbruch,(?),2,3a921413-5351-81b8-b9c8-e16c22e7d0b4,unnamed placeholder
Siegenfelder Steinbruch,(?),2-,3a921413-5351-81c7-9dd1-e988a70bc0fb,unnamed placeholder
Siegenfelder Steinbruch,(?),3+,3a921413-5351-81d6-989d-f814ba4af43f,unnamed placeholder
Trenkerwand,Latti,5-,3a921413-5351-8101-9bb5-f272de7489bd,no match in my transcription
Vogelwandl,(unbenannt),4,3a921413-5351-8105-9deb-e06d648e71b1,unnamed placeholder
Vogelwandl,(unbenannt),4,3a921413-5351-81c8-9d4f-fc6a23b319e7,unnamed placeholder
