my_wall,route,my_grade,match,db_wall,db_grade,grade_differs,notion_page_id
Badener Turm,Ariel Futur,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-81d7-a716-cb14d893c116
Badener Turm,Ausstiegsvariante,4,exists_in_db,Badener Turm,4-,YES,3a921413-5351-81ac-96b5-e064597b0011
Badener Turm,B.E.-Kante,7-,exists_in_db,Badener Turm,7-,,3a921413-5351-81d4-ab17-c2d9dbba2709
Badener Turm,Badener Waschl,7+,exists_in_db,Badener Turm,7+,,3a921413-5351-811f-bcd6-dbd8ad5d7104
Badener Turm,Bäh-Platte,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-8156-99aa-c65dff3c7c70
Badener Turm,Bügelbrett,6+/7-,exists_in_db,Badener Turm,6+/7-,,3a921413-5351-8126-94f7-ed5b70433bd7
Badener Turm,Direkte Ostwand,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-81d9-8c5a-cbbe7bba5e04
Badener Turm,Direkte Westwand,7+/8-,exists_in_db,Badener Turm,7+/8-,,3a921413-5351-8132-87df-d7eabe29b886
Badener Turm,Grindula,6,exists_in_db,Badener Turm,6,,3a921413-5351-811d-90a5-ecfda485de8e
Badener Turm,Is So,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-81ef-b3e5-f8046c7fbf24
Badener Turm,Linker Südriss,5,exists_in_db,Badener Turm,5,,3a921413-5351-8199-a9e3-ec331b6efc23
Badener Turm,Luftbuderant,9-,exists_in_db,Badener Turm,9-,,3a921413-5351-8161-9d7c-dd5e8f419003
Badener Turm,Nordostkante,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-8127-b09b-c885b51fb24c
Badener Turm,Nordostriss,6-,exists_in_db,Badener Turm,6-,,3a921413-5351-818a-8756-f2ee1b517273
Badener Turm,Normalweg,4-,exists_in_db,Badener Turm,4-,,3a921413-5351-817b-bc5f-cb39cfd4ad9b
Badener Turm,Ostriss,4,exists_in_db,Badener Turm,4-,YES,3a921413-5351-8102-a0bc-cd0e4ed3dbd7
Badener Turm,Rechter Südriss,6,exists_in_db,Badener Turm,6-,YES,3a921413-5351-8199-89aa-d6d3694a7bdf
Badener Turm,Sehr Super,7-,exists_in_db,Badener Turm,7-,,3a921413-5351-8149-ab18-d9e3a75f5cf7
Badener Turm,Südostkantenriss,6,exists_in_db,Badener Turm,6,,3a921413-5351-811f-8d21-e6df9ee9d43e
Badener Turm,Südostriss (Badener Turm),6,exists_in_db,Badener Turm,6-,YES,3a921413-5351-8148-821b-e024e6a5805c
Badener Turm,Süka-Ori,7,exists_in_db,Badener Turm,7,,3a921413-5351-8190-b32b-f2c9ee2b9898
Badener Turm,The Bell,6+,exists_in_db,Badener Turm,6+,,3a921413-5351-81da-bb77-e586aa31a0a3
Badener Turm,The Stand,7-,exists_in_db,Badener Turm,7-,,3a921413-5351-81aa-a97d-eef5dc3c347d
Badener Turm,Turmfalke,5-,exists_in_db,Badener Turm,5-,,3a921413-5351-8126-b3f1-dcf825a30d2e
Badener Turm,Wildschwein,7,exists_in_db,Badener Turm,7,,3a921413-5351-8121-9508-cde2a2527337
Badener Turm (Boulder),Gilbhart,5b,exists_in_db,Badener Turm,5b,,3a921413-5351-811b-9365-c6e64a8e7e32
Badener Turm (Boulder),Pestanz,6a,new_not_in_db,,,,
Beethovenwand,Aus Spass wird Ernst,6-,exists_in_db,Beethovenwand,6-,,3a921413-5351-81df-8640-f68bab53f218
Beethovenwand,Bacdafucup,9+/10-,exists_in_db,Beethovenwand,9+/10-,,3a921413-5351-81ed-a731-d82e59063380
Beethovenwand,Depression,8+,exists_in_db,Beethovenwand,8+,,3a921413-5351-8193-adda-eb65ab87560f
Beethovenwand,Dont Fly in Extra Dry,9+,exists_in_db,Beethovenwand,9+,,3a921413-5351-812b-b0e1-ee2db7093881
Beethovenwand,Dont Worry,8-,exists_in_db,Beethoven-Scharfeneck,8-,,3a921413-5351-8186-a3cd-e4b3c73c439a
Beethovenwand,Ewing,9+/10-,exists_in_db,Beethoven-Scharfeneck,9+/10-,,3a921413-5351-81ff-aa6e-d7e6f46168a4
Beethovenwand,Feistritzer,8+,exists_in_db,Beethovenwand,8+,,3a921413-5351-81f3-8964-fcf292841e28
Beethovenwand,Fritzelacke,8,exists_in_db,Beethovenwand,8,,3a921413-5351-817f-bf65-e224ea40e033
Beethovenwand,Give it Away,9,exists_in_db,Beethovenwand,9,,3a921413-5351-813f-bd64-f1237d79c507
Beethovenwand,Happel,10-/10,exists_in_db,Beethoven-Scharfeneck,10-/10,,3a921413-5351-8193-a15d-c07c283d9892
Beethovenwand,In Wie Schuppen von den Augen,8+,exists_in_db,Beethovenwand,8+,,3a921413-5351-81eb-9c71-f4470424c7c7
Beethovenwand,It's Hard to Be a Man,8,exists_in_db,Beethovenwand,8,,3a921413-5351-8120-bfeb-e3e1a9f855cb
Beethovenwand,Kvp,10,exists_in_db,Beethoven-Scharfeneck,10,,3a921413-5351-81d5-bdb0-d8ac96aa52a8
Beethovenwand,LÜ,10+/11-,exists_in_db,Beethoven-Scharfeneck,10+/11-,,3a921413-5351-812f-af15-f2b457cb6c7b
Beethovenwand,Pimplegionär,9,exists_in_db,Beethovenwand,9,,3a921413-5351-8124-87cc-eb2d6903d486
Beethovenwand,Romans Kante,9+,exists_in_db,Beethoven-Scharfeneck,9+,,3a921413-5351-818c-8dfb-ea00d62c7a8d
Beethovenwand,Rosegarden Funeral of Sores,9-,exists_in_db,Beethoven-Scharfeneck,9-,,3a921413-5351-8176-92e7-cccff516c6bf
Beethovenwand,Schwere Ausstattung,10+,exists_in_db,Beethoven-Scharfeneck,10+,,3a921413-5351-8100-9632-db541219b012
Beethovenwand,Siddharta,9,exists_in_db,Beethoven-Scharfeneck,9,,3a921413-5351-8104-b7c1-c55b93343dbb
Beethovenwand,Steppenwolf,9-/9,exists_in_db,Beethovenwand,9-/9,,3a921413-5351-8151-8241-d0107e6f2267
Beethovenwand,Sterben ist zu wenig,9+/10-,exists_in_db,Beethoven-Scharfeneck,9+/10-,,3a921413-5351-81d6-8154-cda315733ea0
Beethovenwand,Surprise,10-,exists_in_db,Beethoven-Scharfeneck,10-,,3a921413-5351-81b4-8bf7-d1a3f7f33aeb
Beethovenwand,Vergangenheitsbewältigung,8-,exists_in_db,Beethovenwand,8-,,3a921413-5351-815b-9e3c-e4db0d4d1825
Beethovenwand,ÖKM Kante,9-/9,exists_in_db,Beethoven-Scharfeneck,9-/9,,3a921413-5351-817d-8fc0-dce7ef897d54
Breite Wand,Adagio,5+,exists_in_db,Breite Wand,5+,,3a921413-5351-819d-a849-db357364d48b
Breite Wand,Alte Führe,5,exists_in_db,Breite Wand,5,,3a921413-5351-81c9-b13e-fe940eebd5da
