Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Philipp,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Philipp,,to create
Kamin,5,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kamin,,to create
Ghadaffi grüsst Kreisky,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Ghadaffi grüsst Kreisky,,to create
Radarfalle,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Radarfalle,,to create
Torturplatte,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Torturplatte,,to create
Jagasimmerl,7-,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Jagasimmerl,,to create
Inox,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Inox,,to create
Var (Inox),7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Var (Inox),,to create
Alles ist möglich,8 A0,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Alles ist möglich,,to create
Köpek,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Köpek,,to create
Husch Husch ins Körbchen,7,5-7,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Husch Husch ins Körbchen,,to create
Schneebergblick,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schneebergblick,,to create
Hausstein Eins,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Eins,,to create
Schwammerldirettissima,,,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schwammerldirettissima,,to create
Hausstein Zwei,9+/10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Zwei,,to create
Angriff RRT,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Angriff RRT,,to create
Kerzlschlicka,9-,8-11,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kerzlschlicka,,to create
The Going Gong of Laddio Bolocko,,,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | The Going Gong of Laddio Bolocko,,to create
Epic Problem,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Epic Problem,,to create
Fanfare for Effective Freedom,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Fanfare for Effective Freedom,,to create
Ich möcht alt sein mit einem Krückstock,7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Ich möcht alt sein mit einem Krückstock,,to create
Da Wuchtldrucka,9-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Da Wuchtldrucka,,to create
Fledermausdach,8+,8-11,multipitch,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Fledermausdach,,to create
Anarchists Just Wanna Have Fun,9+/10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Anarchists Just Wanna Have Fun,,to create
Favete Linguis,9,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Favete Linguis,,to create
Irrsinnsdimensionen,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Irrsinnsdimensionen,,to create
Hausstein Drei,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Hausstein Drei,,to create
Schneeglöckchen,11-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schneeglöckchen,,to create
Arsch im Raum der Zeit,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Arsch im Raum der Zeit,,to create
Das Heulen des Gösing-Wolfes,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Das Heulen des Gösing-Wolfes,,to create
Die ultimativen Bewegungen,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Die ultimativen Bewegungen,,to create
Goat Lips,7,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Goat Lips,,to create
Dach überm Kopf,7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Dach überm Kopf,,to create
La Tirania de la Tradicion,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | La Tirania de la Tradicion,,to create
Meine Hawara san Echsen-Menschen,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Meine Hawara san Echsen-Menschen,,to create
The Exclusive Character of Victory,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | The Exclusive Character of Victory,,to create
La Zampa del Mago,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | La Zampa del Mago,,to create
Wolf Like Me,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Wolf Like Me,,to create
Patagonia,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Patagonia,,to create
Kühlschrankkante,8/8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Kühlschrankkante,,to create
Direkte Haussteinkante,8+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Direkte Haussteinkante,,to create
Amerikanerweg,8,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Amerikanerweg,,to create
Der einbrennte Hund,10-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Der einbrennte Hund,,to create
Schankholz,9/9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Schankholz,,to create
Mostschank Wöber,9+,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Mostschank Wöber,,to create
There Is No 666 in Outta Space,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | There Is No 666 in Outta Space,,to create
Santa Sangre,9,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Santa Sangre,,to create
Thats Not Me,10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Thats Not Me,,to create
Napoleon Solo This Is Forever,10-/10,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Napoleon Solo This Is Forever,,to create
Spenglerverschneidung,5+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Spenglerverschneidung,,to create
Spenglerriss,8-,8-11,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Spenglerriss,,to create
Resls Riss,6,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Resls Riss,,to create
Happy Haki Hour,6+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Happy Haki Hour,,to create
Herbert West,7/7+,5-7,sport,UIAA,Hohe Wand,Hausstein,Österreich Ost,,,Hohe Wand | Hausstein | Herbert West,,to create
Baumblade,7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Baumblade,,to create
Wachablöse,7+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Wachablöse,,to create
Fluchtburg,7-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Fluchtburg,,to create
