id,name,slug,cluster,lat,lon,ele,elevation_source,x_m,y_m,aspect_deg,aspect,slope_deg,terrain_source,nn_m,nn_name,scan_status,routes_documented,notes
HEL-4-17,Beethovengrat,beethovengrat,4,48.010749,16.161975,,missing,-2239.15,-699.53,,,,unavailable_no_elevation,1760,Badener Turm,not_started,,
HEL-1-01,Badener Kletterschule,badener_kletterschule,1,48.019512,16.190224,,missing,-135.66,275.96,,,,unavailable_no_elevation,85,Badener Kletterschule,not_started,,
HEL-1-02,Beethovenwand,beethovenwand,1,48.015792,16.195563,,missing,261.9,-138.15,,,,unavailable_no_elevation,82,Scharfeneck,not_started,,
HEL-1-03,Scharfeneck,scharfeneck,1,48.015771,16.194458,,missing,179.62,-140.49,,,,unavailable_no_elevation,82,Beethovenwand,not_started,,
HEL-1-04,Zwergwandl,zwergwandl,1,48.017002,16.19618,,missing,307.84,-3.45,,,,unavailable_no_elevation,78,Kleines Verdon,not_started,,
HEL-1-05,Kleines Verdon,kleines_verdon,1,48.018401,16.193624,,missing,117.52,152.29,,,,unavailable_no_elevation,157,Block 7,not_started,,
HEL-1-06,Block 7,block_7,1,48.019492,16.194966,,missing,217.44,273.73,,,,unavailable_no_elevation,157,Kleines Verdon,not_started,,
HEL-1-07,Kleines Verdon,kleines_verdon,1,48.017609,16.196708,,missing,347.16,64.12,,,,unavailable_no_elevation,78,Zwergwandl,not_started,,
HEL-1-08,Ötziturm,otziturm,1,48.023447,16.192351,,missing,22.72,714.0,,,,unavailable_no_elevation,97,Siegenfelder Platte,not_started,,
HEL-1-09,Siegenfelder Platte,siegenfelder_platte,1,48.022607,16.192024,,missing,-1.63,620.49,,,,unavailable_no_elevation,97,Ötziturm,not_started,,
HEL-1-10,Block 3: Fraaanz,block_3_fraaanz,1,48.02049,16.193005,,missing,71.42,384.83,,,,unavailable_no_elevation,169,Tigerblock,not_started,,
HEL-1-11,Badener Kletterschule,badener_kletterschule,1,48.01945,16.189089,,missing,-220.17,269.06,,,,unavailable_no_elevation,85,Badener Kletterschule,not_started,,
HEL-1-12,Tigerblock,tigerblock,1,48.020641,16.190742,,missing,-97.09,401.64,,,,unavailable_no_elevation,131,Badener Kletterschule,not_started,,
HEL-1-13,"Urtelstein, Engelstein",urtelstein_engelstein,1,48.015914,16.196654,,missing,343.14,-124.57,,,,unavailable_no_elevation,82,Beethovenwand,not_started,,
HEL-2-15,Burgruine Rauhenstein,burgruine_rauhenstein,2,48.012862,16.205252,,missing,983.37,-464.31,,,,unavailable_no_elevation,587,Jammerwandl,not_started,,
HEL-1-14,Jammerwandl,jammerwandl,1,48.015336,16.198289,,missing,464.88,-188.91,,,,unavailable_no_elevation,138,"Urtelstein, Engelstein",not_started,,
HEL-3-16,Badener Turm,badener_turm,3,48.004486,16.183675,,missing,-623.31,-1396.73,,,,unavailable_no_elevation,1491,Scharfeneck,not_started,,
