id,name,aspect_deg,aspect,slope_deg,source,aspect_radius_m,dem_ele,gpx_ele,elevation_source,horizon_max
HEL-4-17,Beethovengrat,,,,unavailable_no_elevation,,,,missing,
HEL-1-01,Badener Kletterschule,,,,unavailable_no_elevation,,,,missing,
HEL-1-02,Beethovenwand,,,,unavailable_no_elevation,,,,missing,
HEL-1-03,Scharfeneck,,,,unavailable_no_elevation,,,,missing,
HEL-1-04,Zwergwandl,,,,unavailable_no_elevation,,,,missing,
HEL-1-05,Kleines Verdon,,,,unavailable_no_elevation,,,,missing,
HEL-1-06,Block 7,,,,unavailable_no_elevation,,,,missing,
HEL-1-07,Kleines Verdon,,,,unavailable_no_elevation,,,,missing,
HEL-1-08,Ötziturm,,,,unavailable_no_elevation,,,,missing,
HEL-1-09,Siegenfelder Platte,,,,unavailable_no_elevation,,,,missing,
HEL-1-10,Block 3: Fraaanz,,,,unavailable_no_elevation,,,,missing,
HEL-1-11,Badener Kletterschule,,,,unavailable_no_elevation,,,,missing,
HEL-1-12,Tigerblock,,,,unavailable_no_elevation,,,,missing,
HEL-1-13,"Urtelstein, Engelstein",,,,unavailable_no_elevation,,,,missing,
HEL-2-15,Burgruine Rauhenstein,,,,unavailable_no_elevation,,,,missing,
HEL-1-14,Jammerwandl,,,,unavailable_no_elevation,,,,missing,
HEL-3-16,Badener Turm,,,,unavailable_no_elevation,,,,missing,
