id,name,slug,cluster,lat,lon,ele,elevation_source,x_m,y_m,aspect_deg,aspect,slope_deg,terrain_source,nn_m,nn_name,scan_status,routes_documented,notes
PEI-1-10,"Abandoned quarry, mine",abandoned_quarry_mine,1,48.125527,16.217523,361.2,gpx,1888.28,3636.83,,,,unreliable_sectors_too_far_apart,842,Löwenkopf,not_started,,
PEI-2-16,Bum Bum Wandl,bum_bum_wandl,2,47.996053,16.105752,462.0,gpx,-6422.24,-10776.15,,,,unreliable_sectors_too_far_apart,836,Kuhhügel,not_started,,
PEI-2-15,Kuhhügel,kuhhuegel,2,48.00254,16.10009,494.8,gpx,-6843.23,-10054.02,,,,unreliable_sectors_too_far_apart,734,Scheitergraben,not_started,,
PEI-2-14,Scheitergraben,scheitergraben,2,48.008003,16.105617,596.6,gpx,-6432.28,-9445.89,,,,unreliable_sectors_too_far_apart,734,Kuhhügel,not_started,,
PEI-3-17,Arsch der Welt,arsch_der_welt,3,48.018994,16.119438,585.9,gpx,-5404.64,-8222.37,,,,unreliable_sectors_too_far_apart,1598,Scheitergraben,not_started,,
PEI-4-18,Höllensteine,hoellensteine,4,48.096515,16.184047,630.1,gpx,-600.76,407.23,,,,unreliable_sectors_too_far_apart,2109,Jungkunststein,not_started,,
PEI-1-04,Luckete Wand,luckete_wand,1,48.112115,16.200473,455.9,gpx,620.56,2143.81,,,,unreliable_sectors_too_far_apart,120,Raab-Felsen (435 m),not_started,,
PEI-1-02,Jungkunststein,jungkunststein,1,48.109702,16.204405,497.5,gpx,912.92,1875.2,,,,unreliable_sectors_too_far_apart,397,Luckete Wand,not_started,,
PEI-1-05,Kirchengrat,kirchengrat,1,48.113728,16.197626,449.0,gpx,408.88,2323.37,,,,unreliable_sectors_too_far_apart,215,Raab-Felsen (435 m),not_started,,
PEI-1-06,Raab-Felsen (435 m),raab_felsen_435_m,1,48.113194,16.200401,432.7,gpx,615.21,2263.92,,,,unreliable_sectors_too_far_apart,120,Luckete Wand,not_started,,
PEI-1-09,Löwenkopf,loewenkopf,1,48.119135,16.211473,373.8,gpx,1438.44,2925.27,,,,unreliable_sectors_too_far_apart,361,Kaltenleutgebner Grat,not_started,,
PEI-1-08,Waldmühle Hauptwand,waldmuehle_hauptwand,1,48.118374,16.221751,405.2,gpx,2202.64,2840.56,,,,unreliable_sectors_too_far_apart,196,Meije,not_started,,
PEI-1-01,Meije,meije,1,48.117436,16.223987,500.3,gpx,2368.9,2736.14,,,,unreliable_sectors_too_far_apart,196,Waldmühle Hauptwand,not_started,,
PEI-1-03,Streberwände,streberwaende,1,48.11711,16.215608,480.8,gpx,1745.89,2699.85,,,,unreliable_sectors_too_far_apart,148,Kaltenleutgebner Grat,not_started,,
PEI-1-07,Kaltenleutgebner Grat,kaltenleutgebner_grat,1,48.116353,16.213972,410.9,gpx,1624.25,2615.58,,,,unreliable_sectors_too_far_apart,148,Streberwände,not_started,,
PEI-1-11,Kammersteingraben,kammersteingraben,1,48.126432,16.233619,360.8,gpx,3085.07,3737.57,,,,unreliable_sectors_too_far_apart,1201,"Abandoned quarry, mine",not_started,,
PEI-1-12,Lutterwand,lutterwand,1,48.128969,16.250156,310.2,gpx,4314.64,4019.99,,,,unreliable_sectors_too_far_apart,301,Mizzi-Langer-Wand,not_started,,
PEI-1-13,Mizzi-Langer-Wand,mizzi_langer_wand,1,48.131243,16.252346,290.6,gpx,4477.48,4273.13,,,,unreliable_sectors_too_far_apart,301,Lutterwand,not_started,,
