id,name,aspect_deg,aspect,slope_deg,source,aspect_radius_m,dem_ele,gpx_ele,elevation_source,horizon_max
PEI-1-10,"Abandoned quarry, mine",,,,unreliable_sectors_too_far_apart,,,361.2,gpx,
PEI-2-16,Bum Bum Wandl,,,,unreliable_sectors_too_far_apart,,,462.0,gpx,
PEI-2-15,Kuhhügel,,,,unreliable_sectors_too_far_apart,,,494.8,gpx,
PEI-2-14,Scheitergraben,,,,unreliable_sectors_too_far_apart,,,596.6,gpx,
PEI-3-17,Arsch der Welt,,,,unreliable_sectors_too_far_apart,,,585.9,gpx,
PEI-4-18,Höllensteine,,,,unreliable_sectors_too_far_apart,,,630.1,gpx,
PEI-1-04,Luckete Wand,,,,unreliable_sectors_too_far_apart,120,,455.9,gpx,
PEI-1-02,Jungkunststein,,,,unreliable_sectors_too_far_apart,,,497.5,gpx,
PEI-1-05,Kirchengrat,,,,unreliable_sectors_too_far_apart,,,449.0,gpx,
PEI-1-06,Raab-Felsen (435 m),,,,unreliable_sectors_too_far_apart,120,,432.7,gpx,
PEI-1-09,Löwenkopf,,,,unreliable_sectors_too_far_apart,,,373.8,gpx,
PEI-1-08,Waldmühle Hauptwand,,,,unreliable_sectors_too_far_apart,,,405.2,gpx,
PEI-1-01,Meije,,,,unreliable_sectors_too_far_apart,,,500.3,gpx,
PEI-1-03,Streberwände,,,,unreliable_sectors_too_far_apart,148,,480.8,gpx,
PEI-1-07,Kaltenleutgebner Grat,,,,unreliable_sectors_too_far_apart,148,,410.9,gpx,
PEI-1-11,Kammersteingraben,,,,unreliable_sectors_too_far_apart,,,360.8,gpx,
PEI-1-12,Lutterwand,,,,unreliable_sectors_too_far_apart,,,310.2,gpx,
PEI-1-13,Mizzi-Langer-Wand,,,,unreliable_sectors_too_far_apart,,,290.6,gpx,
