id,name,slug,cluster,lat,lon,ele,elevation_source,x_m,y_m,aspect_deg,aspect,slope_deg,terrain_source,nn_m,nn_name,scan_status,routes_documented,notes
WAC-1-04,Turm der Schmächtigen,turm_der_schmaechtigen,1,48.399883,15.523478,363.2,gpx,23.18,-7.83,248.4,WSW,40.1,estimated_from_waypoints,39,Turm der Mächtigen,not_started,,
WAC-1-15,Turm der Mächtigen,turm_der_maechtigen,1,48.399637,15.523102,334.3,gpx,-4.61,-35.22,260.3,W,33.5,estimated_from_waypoints,39,Turm der Schmächtigen,not_started,,
WAC-1-16,Mittlerer Sägezahn,mittlerer_saegezahn,1,48.398319,15.523311,327.3,gpx,10.84,-181.94,171.0,S,33.6,estimated_from_waypoints,26,Donauturm,not_started,,
WAC-1-18,Reibeisen,reibeisen,1,48.397678,15.522518,323.3,gpx,-47.77,-253.29,148.5,SSE,27.5,estimated_from_waypoints,18,Häuptling,not_started,,
WAC-1-19,Häuptling,haeuptling,1,48.397746,15.522738,311.4,gpx,-31.51,-245.72,148.5,SSE,27.5,estimated_from_waypoints,18,Reibeisen,not_started,,
WAC-1-08,Plattenspitz,plattenspitz,1,48.398433,15.523,346.8,gpx,-12.15,-169.25,161.6,SSE,27.9,estimated_from_waypoints,21,Donauturm,not_started,,
WAC-1-11,Donauturm,donauturm,1,48.398544,15.523231,343.2,gpx,4.92,-156.89,171.0,S,33.6,estimated_from_waypoints,21,Plattenspitz,not_started,,
WAC-1-03,Gotifels,gotifels,1,48.399872,15.524057,393.0,gpx,65.97,-9.06,248.4,WSW,40.1,estimated_from_waypoints,32,Dreifingerspitze,not_started,,
WAC-1-02,Dreifingerspitze,dreifingerspitze,1,48.399612,15.524234,396.0,gpx,79.05,-38.0,248.4,WSW,40.1,estimated_from_waypoints,20,Hahnenkamm,not_started,,
WAC-1-01,Hahnenkamm,hahnenkamm,1,48.399431,15.524229,398.9,gpx,78.68,-58.15,237.5,WSW,35.1,estimated_from_waypoints,20,Dreifingerspitze,not_started,,
WAC-1-06,Ruachlafelsen,ruachlafelsen,1,48.398832,15.524014,362.0,gpx,62.79,-124.83,171.7,S,30.3,estimated_from_waypoints,15,WZ-Kind,not_started,,
WAC-1-14,Splitterturm,splitterturm,1,48.39844,15.523971,337.3,gpx,59.61,-168.47,168.8,S,33.7,estimated_from_waypoints,22,Dickkopf,not_started,,
WAC-1-07,WZ-Kind,wz_kind,1,48.398708,15.524079,352.2,gpx,67.6,-138.63,170.9,S,32.1,estimated_from_waypoints,15,Ruachlafelsen,not_started,,
WAC-1-10,Steinbruch,steinbruch,1,48.398683,15.524438,344.2,gpx,94.13,-141.42,211.7,SSW,27.5,estimated_from_waypoints,27,WZ-Kind,not_started,,
WAC-1-13,Dickkopf,dickkopf,1,48.398391,15.523682,338.2,gpx,38.26,-173.92,171.0,S,33.6,estimated_from_waypoints,22,Splitterturm,not_started,,
WAC-1-20,Däumling,daeumling,1,48.398116,15.523837,310.0,gpx,49.71,-204.53,171.0,S,33.6,estimated_from_waypoints,33,Dickkopf,not_started,,
WAC-1-09,Rawazzerfels,rawazzerfels,1,48.398063,15.525017,344.9,gpx,136.92,-210.43,217.4,SW,22.3,estimated_from_waypoints,31,Pentagonfels,not_started,,
WAC-1-05,Hörnliturm und Plattenwandl,hoernliturm_und_plattenwandl,1,48.398323,15.525243,362.9,gpx,153.63,-181.49,208.9,SSW,18.2,estimated_from_waypoints,33,Rawazzerfels,not_started,,
WAC-1-12,Geisterschiff,geisterschiff,1,48.398177,15.52564,339.6,gpx,182.97,-197.74,208.9,SSW,18.2,estimated_from_waypoints,34,Hörnliturm und Plattenwandl,not_started,,
WAC-1-17,Pentagonfels,pentagonfels,1,48.397856,15.524738,325.5,gpx,116.3,-233.48,226.2,SW,22.5,estimated_from_waypoints,31,Rawazzerfels,not_started,,
WAC-1-24,Sitting Bull,sitting_bull,1,48.397304,15.52425,290.4,gpx,80.23,-294.93,241.1,WSW,30.8,estimated_from_waypoints,44,Fratzofels,not_started,,
WAC-1-21,Fratzofels,fratzofels,1,48.397083,15.524744,306.4,gpx,116.75,-319.53,241.1,WSW,30.8,estimated_from_waypoints,15,Omas Kegel und Fratzofels,not_started,,
WAC-1-22,Omas Kegel und Fratzofels,omas_kegel_und_fratzofels,1,48.396952,15.524728,300.0,gpx,115.56,-334.11,241.1,WSW,30.8,estimated_from_waypoints,15,Fratzofels,not_started,,
WAC-1-23,Vergessener Turm,vergessener_turm,1,48.396798,15.524679,293.6,gpx,111.94,-351.25,241.1,WSW,30.8,estimated_from_waypoints,13,Bettinaturm,not_started,,
WAC-1-25,Bettinaturm,bettinaturm,1,48.396706,15.524567,283.0,gpx,103.66,-361.5,241.1,WSW,30.8,estimated_from_waypoints,13,Vergessener Turm,not_started,,
WAC-1-26,Schwarzer Turm,schwarzer_turm,1,48.396688,15.52432,273.5,gpx,85.41,-363.5,241.1,WSW,30.8,estimated_from_waypoints,18,Bettinaturm,not_started,,
WAC-1-27,Namenloser Turm,namenloser_turm,1,48.396756,15.523987,267.5,gpx,60.8,-355.93,241.1,WSW,30.8,estimated_from_waypoints,26,Schwarzer Turm,not_started,,
WAC-2-30,Turm jenseits des Tales,turm_jenseits_des_tales,2,48.40332,15.522099,353.3,gpx,-78.74,374.77,121.9,ESE,49.0,estimated_from_waypoints,85,Civetta,not_started,,
WAC-3-34,Wachauergrat,wachauergrat,3,48.406952,15.520881,456.4,gpx,-168.76,779.08,188.5,S,28.8,estimated_from_waypoints,100,Donna Rossa,not_started,,
WAC-3-36,Don-Bosco-Grat,don_bosco_grat,3,48.406176,15.521997,422.0,gpx,-86.28,692.7,188.5,S,28.8,estimated_from_waypoints,19,Donna Rossa,not_started,,
WAC-3-35,Don-Bosco-Grat,don_bosco_grat,3,48.406653,15.522174,444.8,gpx,-73.2,745.8,188.5,S,28.8,estimated_from_waypoints,46,Donna Rossa,not_started,,
WAC-3-37,Donna Rossa,donna_rossa,3,48.406308,15.521826,412.7,gpx,-98.92,707.39,188.5,S,28.8,estimated_from_waypoints,19,Don-Bosco-Grat,not_started,,
WAC-3-38,Ruck-Zuck Wandl,ruck_zuck_wandl,3,48.405613,15.519943,337.5,gpx,-238.09,630.03,,,,unreliable_sectors_too_far_apart,159,Donna Rossa,not_started,,
WAC-2-31,Piratalwand,piratalwand,2,48.40223,15.518205,339.6,gpx,-366.54,253.43,,,,unreliable_sectors_too_far_apart,57,Nasenwand,not_started,,
WAC-2-28,Nasenwand,nasenwand,2,48.402714,15.518467,372.3,gpx,-347.18,307.31,,,,unreliable_sectors_too_far_apart,57,Piratalwand,not_started,,
WAC-2-32,Upper Sector,upper_sector,2,48.402312,15.521386,329.7,gpx,-131.44,262.56,121.9,ESE,49.0,estimated_from_waypoints,31,Lower Sector,not_started,,
WAC-2-33,Lower Sector,lower_sector,2,48.402298,15.521804,310.6,gpx,-100.54,261.0,121.9,ESE,49.0,estimated_from_waypoints,31,Upper Sector,not_started,,
WAC-2-29,Civetta,civetta,2,48.402621,15.521633,367.4,gpx,-113.18,296.96,121.9,ESE,49.0,estimated_from_waypoints,38,Lower Sector,not_started,,
