date,sector,slug,aspect_deg,terrain_source,basis,sun_from,sun_to,sun_hours,interruptions
2026-03-20,Turm der Schmächtigen,turm_der_schmaechtigen,248.4,estimated_from_waypoints,estimated_aspect,11:20,18:00,6.8,
2026-03-20,Turm der Mächtigen,turm_der_maechtigen,260.3,estimated_from_waypoints,estimated_aspect,12:00,18:00,6.2,
2026-03-20,Mittlerer Sägezahn,mittlerer_saegezahn,171.0,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Reibeisen,reibeisen,148.5,estimated_from_waypoints,estimated_aspect,06:10,15:00,9.0,
2026-03-20,Häuptling,haeuptling,148.5,estimated_from_waypoints,estimated_aspect,06:10,15:00,9.0,
2026-03-20,Plattenspitz,plattenspitz,161.6,estimated_from_waypoints,estimated_aspect,06:10,16:00,10.0,
2026-03-20,Donauturm,donauturm,171.0,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Gotifels,gotifels,248.4,estimated_from_waypoints,estimated_aspect,11:20,18:00,6.8,
2026-03-20,Dreifingerspitze,dreifingerspitze,248.4,estimated_from_waypoints,estimated_aspect,11:20,18:00,6.8,
2026-03-20,Hahnenkamm,hahnenkamm,237.5,estimated_from_waypoints,estimated_aspect,10:50,18:00,7.3,
2026-03-20,Ruachlafelsen,ruachlafelsen,171.7,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Splitterturm,splitterturm,168.8,estimated_from_waypoints,estimated_aspect,06:10,16:40,10.7,
2026-03-20,WZ-Kind,wz_kind,170.9,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Steinbruch,steinbruch,211.7,estimated_from_waypoints,estimated_aspect,09:10,18:00,9.0,
2026-03-20,Dickkopf,dickkopf,171.0,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Däumling,daeumling,171.0,estimated_from_waypoints,estimated_aspect,06:10,16:50,10.8,
2026-03-20,Rawazzerfels,rawazzerfels,217.4,estimated_from_waypoints,estimated_aspect,09:30,18:00,8.7,
2026-03-20,Hörnliturm und Plattenwandl,hoernliturm_und_plattenwandl,208.9,estimated_from_waypoints,estimated_aspect,09:00,18:00,9.2,
