id,name,aspect_deg,aspect,slope_deg,source,aspect_radius_m,dem_ele,gpx_ele,elevation_source,horizon_max
WAC-1-04,Turm der Schmächtigen,248.4,WSW,40.1,estimated_from_waypoints,138,,363.2,gpx,
WAC-1-15,Turm der Mächtigen,260.3,W,33.5,estimated_from_waypoints,122,,334.3,gpx,
WAC-1-16,Mittlerer Sägezahn,171.0,S,33.6,estimated_from_waypoints,71,,327.3,gpx,
WAC-1-18,Reibeisen,148.5,SSE,27.5,estimated_from_waypoints,117,,323.3,gpx,
WAC-1-19,Häuptling,148.5,SSE,27.5,estimated_from_waypoints,100,,311.4,gpx,
WAC-1-08,Plattenspitz,161.6,SSE,27.9,estimated_from_waypoints,79,,346.8,gpx,
WAC-1-11,Donauturm,171.0,S,33.6,estimated_from_waypoints,65,,343.2,gpx,
WAC-1-03,Gotifels,248.4,WSW,40.1,estimated_from_waypoints,130,,393.0,gpx,
WAC-1-02,Dreifingerspitze,248.4,WSW,40.1,estimated_from_waypoints,101,,396.0,gpx,
WAC-1-01,Hahnenkamm,237.5,WSW,35.1,estimated_from_waypoints,85,,398.9,gpx,
WAC-1-06,Ruachlafelsen,171.7,S,30.3,estimated_from_waypoints,69,,362.0,gpx,
WAC-1-14,Splitterturm,168.8,S,33.7,estimated_from_waypoints,51,,337.3,gpx,
WAC-1-07,WZ-Kind,170.9,S,32.1,estimated_from_waypoints,68,,352.2,gpx,
WAC-1-10,Steinbruch,211.7,SSW,27.5,estimated_from_waypoints,77,,344.2,gpx,
WAC-1-13,Dickkopf,171.0,S,33.6,estimated_from_waypoints,51,,338.2,gpx,
WAC-1-20,Däumling,171.0,S,33.6,estimated_from_waypoints,71,,310.0,gpx,
WAC-1-09,Rawazzerfels,217.4,SW,22.3,estimated_from_waypoints,88,,344.9,gpx,
WAC-1-05,Hörnliturm und Plattenwandl,208.9,SSW,18.2,estimated_from_waypoints,96,,362.9,gpx,
WAC-1-12,Geisterschiff,208.9,SSW,18.2,estimated_from_waypoints,130,,339.6,gpx,
WAC-1-17,Pentagonfels,226.2,SW,22.5,estimated_from_waypoints,86,,325.5,gpx,
WAC-1-24,Sitting Bull,241.1,WSW,30.8,estimated_from_waypoints,71,,290.4,gpx,
WAC-1-21,Fratzofels,241.1,WSW,30.8,estimated_from_waypoints,67,,306.4,gpx,
WAC-1-22,Omas Kegel und Fratzofels,241.1,WSW,30.8,estimated_from_waypoints,59,,300.0,gpx,
WAC-1-23,Vergessener Turm,241.1,WSW,30.8,estimated_from_waypoints,65,,293.6,gpx,
WAC-1-25,Bettinaturm,241.1,WSW,30.8,estimated_from_waypoints,71,,283.0,gpx,
WAC-1-26,Schwarzer Turm,241.1,WSW,30.8,estimated_from_waypoints,69,,273.5,gpx,
WAC-1-27,Namenloser Turm,241.1,WSW,30.8,estimated_from_waypoints,67,,267.5,gpx,
WAC-2-30,Turm jenseits des Tales,121.9,ESE,49.0,estimated_from_waypoints,124,,353.3,gpx,
WAC-3-34,Wachauergrat,188.5,S,28.8,estimated_from_waypoints,119,,456.4,gpx,
WAC-3-36,Don-Bosco-Grat,188.5,S,28.8,estimated_from_waypoints,119,,422.0,gpx,
WAC-3-35,Don-Bosco-Grat,188.5,S,28.8,estimated_from_waypoints,101,,444.8,gpx,
WAC-3-37,Donna Rossa,188.5,S,28.8,estimated_from_waypoints,100,,412.7,gpx,
WAC-3-38,Ruck-Zuck Wandl,,,,unreliable_sectors_too_far_apart,,,337.5,gpx,
WAC-2-31,Piratalwand,,,,unreliable_sectors_too_far_apart,57,,339.6,gpx,
WAC-2-28,Nasenwand,,,,unreliable_sectors_too_far_apart,57,,372.3,gpx,
WAC-2-32,Upper Sector,121.9,ESE,49.0,estimated_from_waypoints,124,,329.7,gpx,
WAC-2-33,Lower Sector,121.9,ESE,49.0,estimated_from_waypoints,116,,310.6,gpx,
WAC-2-29,Civetta,121.9,ESE,49.0,estimated_from_waypoints,85,,367.4,gpx,
