latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4080893,15.5210585,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4079518,15.5221,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4075601,15.5229829,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.406974,15.5235728,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4062825,15.52378,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.405591,15.5235728,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4050049,15.5229829,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4046132,15.5221,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4044757,15.5210585,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4046132,15.520017,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4050049,15.5191341,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.405591,15.5185442,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4062825,15.518337,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.406974,15.5185442,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4075601,15.5191341,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4079518,15.520017,496.4,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4080893,15.5210585,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4079518,15.5221,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4075601,15.5229829,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.406974,15.5235728,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4062825,15.52378,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.405591,15.5235728,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4050049,15.5229829,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4046132,15.5221,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4044757,15.5210585,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4046132,15.520017,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4050049,15.5191341,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.405591,15.5185442,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4062825,15.518337,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.406974,15.5185442,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4075601,15.5191341,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
48.4079518,15.520017,372.5,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.4062825,15.5210585,397.0,1,-1,6
