latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4007406,15.524079,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.4005537,15.5254941,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.4000215,15.5266937,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.399225,15.5274953,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3982855,15.5277768,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.397346,15.5274953,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3965495,15.5266937,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3960173,15.5254941,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3958304,15.524079,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3960173,15.5226639,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3965495,15.5214643,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.397346,15.5206627,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
48.3982855,15.5203812,438.9,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.3982855,15.524079,333.2,1,-1,6
