latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4049863,15.520152,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.404818,15.5214266,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4043387,15.5225072,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4036212,15.5232292,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.402775,15.5234827,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4019288,15.5232292,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4012113,15.5225072,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.400732,15.5214266,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4005637,15.520152,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.400732,15.5188774,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4012113,15.5177968,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4019288,15.5170748,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.402775,15.5168213,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4036212,15.5170748,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4043387,15.5177968,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.404818,15.5188774,412.3,0,8,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4049863,15.520152,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.404818,15.5214266,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4043387,15.5225072,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4036212,15.5232292,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.402775,15.5234827,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4019288,15.5232292,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4012113,15.5225072,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.400732,15.5214266,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4005637,15.520152,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.400732,15.5188774,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4012113,15.5177968,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4019288,15.5170748,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.402775,15.5168213,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4036212,15.5170748,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.4043387,15.5177968,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
48.404818,15.5188774,345.6,0,8,0,1,-10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,4.0,48.402775,15.520152,341.5,1,-1,6
