latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4059723,15.519943,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4059242,15.5202136,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4057927,15.5204117,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.405613,15.5204842,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4054333,15.5204117,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4053018,15.5202136,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4052537,15.519943,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4053018,15.5196724,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4054333,15.5194743,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.405613,15.5194018,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4057927,15.5194743,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4059242,15.5196724,357.5,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4059723,15.519943,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4059242,15.5202136,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4057927,15.5204117,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.405613,15.5204842,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4054333,15.5204117,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4053018,15.5202136,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4052537,15.519943,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
48.4053018,15.5196724,337.5,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.405613,15.519943,337.5,1,-1,4
