latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4036124,15.522099,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4035732,15.5223192,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4034662,15.5224804,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.40332,15.5225394,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4031738,15.5224804,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4030668,15.5223192,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4030276,15.522099,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4030668,15.5218788,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4031738,15.5217176,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.40332,15.5216586,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4034662,15.5217176,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4035732,15.5218788,373.3,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4036124,15.522099,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4035732,15.5223192,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4034662,15.5224804,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.40332,15.5225394,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4031738,15.5224804,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
48.4030668,15.5223192,353.3,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.40332,15.522099,353.3,1,-1,4
